"state1","statename1","mi_to_state","state2","statename2"
"06","California",2545.57152120792,"25","Massachusetts"
"06","California",2549.79448093428,"44","Rhode Island"
"06","California",2657.17926649888,"23","Maine"
"06","California",3453.23162390261,"72","Puerto Rico"
"08","Colorado",295.893176406264,"56","Wyoming"
"08","Colorado",316.537698300682,"35","New Mexico"
"08","Colorado",330.163475673123,"49","Utah"
"08","Colorado",348.033671900253,"31","Nebraska"
"08","Colorado",385.335617353293,"20","Kansas"
"08","Colorado",464.334210448521,"46","South Dakota"
"08","Colorado",472.555295082045,"04","Arizona"
"08","Colorado",499.4350617694,"40","Oklahoma"
"08","Colorado",594.252851196636,"30","Montana"
"08","Colorado",594.93246097641,"16","Idaho"
"08","Colorado",595.12839436583,"32","Nevada"
"08","Colorado",629.121330487514,"48","Texas"
"08","Colorado",637.208414026926,"38","North Dakota"
"08","Colorado",665.077465880237,"19","Iowa"
"08","Colorado",704.810351914952,"29","Missouri"
"08","Colorado",764.25288302128,"27","Minnesota"
"08","Colorado",773.058178611048,"06","California"
"08","Colorado",774.022212732141,"05","Arkansas"
"08","Colorado",852.966389336903,"41","Oregon"
"08","Colorado",873.478578009785,"17","Illinois"
"08","Colorado",899.789192959402,"55","Wisconsin"
"08","Colorado",954.463815532128,"53","Washington"
"08","Colorado",956.695617250654,"22","Louisiana"
"08","Colorado",987.131407921248,"28","Mississippi"
"08","Colorado",1025.60277164927,"18","Indiana"
"08","Colorado",1071.1620033473,"47","Tennessee"
"08","Colorado",1093.99726525748,"26","Michigan"
"08","Colorado",1099.00859157636,"21","Kentucky"
"08","Colorado",1128.15286295357,"01","Alabama"
"08","Colorado",1212.35606183614,"39","Ohio"
"08","Colorado",1309.19065056346,"13","Georgia"
"08","Colorado",1335.86333718874,"54","West Virginia"
"08","Colorado",1410.54403573683,"45","South Carolina"
"08","Colorado",1454.43420633183,"51","Virginia"
"08","Colorado",1464.58159746231,"37","North Carolina"
"08","Colorado",1465.93474292464,"42","Pennsylvania"
"08","Colorado",1507.57857780732,"12","Florida"
"08","Colorado",1524.6218927226,"11","District of Columbia"
"08","Colorado",1542.32095390025,"24","Maryland"
"08","Colorado",1575.57867576621,"36","New York"
"08","Colorado",1606.81446951524,"10","Delaware"
"08","Colorado",1636.70919525249,"34","New Jersey"
"08","Colorado",1722.10756944349,"50","Vermont"
"08","Colorado",1725.50120688978,"09","Connecticut"
"08","Colorado",1776.75658754366,"33","New Hampshire"
"08","Colorado",1786.66349441884,"25","Massachusetts"
"08","Colorado",1788.23079685047,"44","Rhode Island"
"08","Colorado",1919.59173263424,"23","Maine"
"08","Colorado",2556.14939877145,"02","Alaska"
"08","Colorado",2741.36824711056,"72","Puerto Rico"
"08","Colorado",3240.42350448024,"15","Hawaii"
"09","Connecticut",63.1286719544565,"44","Rhode Island"
"09","Connecticut",75.9683301383995,"25","Massachusetts"
"09","Connecticut",142.846085479692,"34","New Jersey"
"09","Connecticut",156.153581205601,"33","New Hampshire"
"09","Connecticut",171.444424238114,"50","Vermont"
"09","Connecticut",172.417466754065,"36","New York"
"09","Connecticut",228.428667857601,"10","Delaware"
"09","Connecticut",268.048431024026,"42","Pennsylvania"
"09","Connecticut",275.59890569085,"24","Maryland"
"09","Connecticut",291.313704995943,"11","District of Columbia"
"09","Connecticut",333.593657508416,"23","Maine"
"09","Connecticut",421.845142728259,"51","Virginia"
"09","Connecticut",462.417368207708,"54","West Virginia"
"09","Connecticut",525.554564388322,"39","Ohio"
"09","Connecticut",541.081388258127,"37","North Carolina"
"09","Connecticut",687.280681267465,"26","Michigan"
"09","Connecticut",691.963740330353,"45","South Carolina"
"09","Connecticut",717.301143444532,"18","Indiana"
"09","Connecticut",723.569419897352,"21","Kentucky"
"09","Connecticut",831.674009581204,"47","Tennessee"
"09","Connecticut",852.220550875858,"13","Georgia"
"09","Connecticut",862.274704012256,"17","Illinois"
"09","Connecticut",879.590733682252,"55","Wisconsin"
"09","Connecticut",985.509903481923,"01","Alabama"
"09","Connecticut",1057.12225965134,"12","Florida"
"09","Connecticut",1064.82622577173,"29","Missouri"
"09","Connecticut",1066.10743792539,"19","Iowa"
"09","Connecticut",1112.23032556921,"27","Minnesota"
"09","Connecticut",1112.69570678916,"28","Mississippi"
"09","Connecticut",1161.03146133801,"05","Arkansas"
"09","Connecticut",1290.32292502402,"22","Louisiana"
"09","Connecticut",1367.56676555845,"20","Kansas"
"09","Connecticut",1393.24205813077,"40","Oklahoma"
"09","Connecticut",1393.46310254337,"31","Nebraska"
"09","Connecticut",1396.22108774065,"46","South Dakota"
"09","Connecticut",1415.92095701093,"38","North Dakota"
"09","Connecticut",1622.97719806078,"48","Texas"
"09","Connecticut",1656.95938445959,"72","Puerto Rico"
"09","Connecticut",1725.50120688978,"08","Colorado"
"09","Connecticut",1768.49963536653,"56","Wyoming"
"09","Connecticut",1844.42599590407,"30","Montana"
"09","Connecticut",1870.11077460786,"35","New Mexico"
"09","Connecticut",2034.11747815797,"49","Utah"
"09","Connecticut",2102.03784555794,"16","Idaho"
"09","Connecticut",2159.57842395664,"04","Arizona"
"09","Connecticut",2286.67976135934,"32","Nevada"
"09","Connecticut",2354.35690210155,"53","Washington"
"09","Connecticut",2399.43377282506,"41","Oregon"
"09","Connecticut",2487.66180863429,"06","California"
"09","Connecticut",3412.62669924364,"02","Alaska"
"09","Connecticut",4955.57092222522,"15","Hawaii"
"10","Delaware",65.9978431421221,"24","Maryland"
"10","Delaware",84.5727848849595,"11","District of Columbia"
"10","Delaware",87.5083009756188,"34","New Jersey"
